序号,来源,类型,效力层级,标题,发布机关,文号,发布日期,施行日期,时效性/现行版本,适用范围,是否已入库,文件路径,来源URL,备注
283,pkulaw,法规,地方工作文件,宁波市人民政府关于对无人驾驶航空器实施临时管控的通告,宁波市人民政府,甬政告〔2024〕2 号,2024-10-10,2024-10-10,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\宁波市人民政府关于对无人驾驶航空器实施临时管控的通告(FBMCLI.14.7838896).pdf,https://www.pkulaw.com/lar/4a09cbadd01fc0ae95eea35cc88e49dfbdfb.html,引证码FBMCLI.14.7838896｜未知位阶/无条文:地方工作文件
284,pkulaw,法规,地方工作文件,安徽省农业农村厅、安徽省财政厅关于印发安徽省农用无人驾驶航空器购置与应用补贴实施方案的通知,安徽省农业农村厅 安徽省财政厅,,2025-02-20,2025-02-20,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\安徽省农业农村厅、安徽省财政厅关于印发安徽省农用无人驾驶航空器购置与应用补贴实施方案的通知(FBMCLI.14.8608392).pdf,https://www.pkulaw.com/lar/38d4ecb764330ddc97186feb905cbbd0bdfb.html,引证码FBMCLI.14.8608392｜有附件｜未知位阶/无条文:地方工作文件
285,pkulaw,法规,地方工作文件,安徽省农业农村厅、安徽省财政厅关于继续开展植保无人驾驶航空器规范应用试点工作的通知,安徽省农业农村厅 安徽省财政厅,皖农机函〔2022〕399号,2022-04-21,2022-04-21,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\安徽省农业农村厅、安徽省财政厅关于继续开展植保无人驾驶航空器规范应用试点工作的通知(FBMCLI.14.5073952).pdf,https://www.pkulaw.com/lar/8cd5cec4e7e10decc0bf4368c3a23eaebdfb.html,引证码FBMCLI.14.5073952｜有附件｜未知位阶/无条文:地方工作文件
286,pkulaw,法规,地方工作文件,安徽省经济和信息化委员会转发工业和信息化部办公厅关于开展民用无人驾驶航空器生产企业和产品信息填报工作的通知,安徽省经济和信息化委员会,皖经信装备函[2017]814号,2017-06-01,2017-06-01,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\安徽省经济和信息化委员会转发工业和信息化部办公厅关于开展民用无人驾驶航空器生产企业和产品信息填报工作的通知(FBMCLI.14.4967168).pdf,https://www.pkulaw.com/lar/bcb91ae5aba898c0e5bc5e288d97d64abdfb.html,引证码FBMCLI.14.4967168｜有附件｜未知位阶/无条文:地方工作文件
287,pkulaw,法规,地方工作文件,宜宾市人民政府关于对无人驾驶航空器实施临时管控的通告,宜宾市人民政府,宜府通〔2026〕1号,2026-01-07,2026-01-07,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\宜宾市人民政府关于对无人驾驶航空器实施临时管控的通告(FBMCLI.14.9603294).pdf,https://www.pkulaw.com/lar/24773461c6d4a63f160fe51f966f4a5ebdfb.html,引证码FBMCLI.14.9603294｜未知位阶/无条文:地方工作文件
288,pkulaw,法规,地方工作文件,宝鸡市人民政府关于公布微型、轻型、小型无人驾驶航空器适飞空域范围的通告,宝鸡市人民政府,,2026-07-05,2026-07-05,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\宝鸡市人民政府关于公布微型、轻型、小型无人驾驶航空器适飞空域范围的通告(FBMCLI.14.10100921).pdf,https://www.pkulaw.com/lar/72a936d66fe78b47ff07103885b258a7bdfb.html,引证码FBMCLI.14.10100921｜有附件｜未知位阶/无条文:地方工作文件
289,pkulaw,法规,地方工作文件,宣城市人民政府关于临时增加无人驾驶航空器管制空域的通告,宣城市人民政府,,2024-06-05,2024-06-05,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\宣城市人民政府关于临时增加无人驾驶航空器管制空域的通告(FBMCLI.14.9356678).pdf,https://www.pkulaw.com/lar/2bbf7757381190985992fa57ec1a1d1ebdfb.html,引证码FBMCLI.14.9356678｜未知位阶/无条文:地方工作文件
290,pkulaw,法规,地方工作文件,山东省农业农村厅关于印发《山东省农用无人驾驶航空器购置与应用补贴实施方案》的通知,山东省农业农村厅,鲁农函字〔2024〕295号,2024-12-31,2024-12-31,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\山东省农业农村厅关于印发《山东省农用无人驾驶航空器购置与应用补贴实施方案》的通知(FBMCLI.14.8436343).pdf,https://www.pkulaw.com/lar/7e7e24291563d3a9c872a03a7a99447fbdfb.html,引证码FBMCLI.14.8436343｜未知位阶/无条文:地方工作文件
291,pkulaw,法规,地方工作文件,山西省农业农村厅、山西省财政厅关于印发《农用无人驾驶航空器购置补贴方案》的通知,山西省农业农村厅 山西省财政厅,晋农发〔2025〕25号,2025-03-17,2025-03-17,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\山西省农业农村厅、山西省财政厅关于印发《农用无人驾驶航空器购置补贴方案》的通知(FBMCLI.14.8628873).pdf,https://www.pkulaw.com/lar/1667a78c0183ab52d3f25a58db8437ccbdfb.html,引证码FBMCLI.14.8628873｜有附件｜未知位阶/无条文:地方工作文件
292,pkulaw,法规,部门工作文件,工业和信息化部关于无人驾驶航空器系统频率使用事宜的通知,工业和信息化部,,2015-03-10,2015-03-10,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\工业和信息化部关于无人驾驶航空器系统频率使用事宜的通知(FBMCLI.4.246871).pdf,https://www.pkulaw.com/chl/0c7b1119b3dc758abdfb.html,引证码FBMCLI.4.246871｜有附件｜部门工作文件(通知/名单)
293,pkulaw,法规,部门工作文件,工业和信息化部办公厅关于开展民用无人驾驶航空器生产企业和产品信息填报工作的通知,工业和信息化部,工信厅装函〔2017〕314号,2017-05-22,2017-05-22,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\工业和信息化部办公厅关于开展民用无人驾驶航空器生产企业和产品信息填报工作的通知(FBMCLI.4.295231).pdf,https://www.pkulaw.com/chl/361062ca14ff6926bdfb.html,引证码FBMCLI.4.295231｜有附件｜部门工作文件(通知/名单)
294,pkulaw,法规,部门工作文件,市场监管总局关于对微型、轻型、小型民用无人驾驶航空器实施召回管理的公告,国家市场监督管理总局,国家市场监督管理总局公告2023年第49号,2023-11-27,2023-11-27,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\市场监管总局关于对微型、轻型、小型民用无人驾驶航空器实施召回管理的公告(FBMCLI.4.5183511).pdf,https://www.pkulaw.com/chl/f7e78e0a2398c647bdfb.html,引证码FBMCLI.4.5183511｜部门工作文件(通知/名单)
295,pkulaw,法规,地方工作文件,常州市经信委关于开展民用无人驾驶航空器生产企业和产品信息填报工作的通知,常州市经济和信息化委员会,常经信装备〔2017〕154号,2017-05-26,2017-05-26,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\常州市经信委关于开展民用无人驾驶航空器生产企业和产品信息填报工作的通知(FBMCLI.14.8676951).pdf,https://www.pkulaw.com/lar/cfe495f293bbd841ac3cadfc9a93e4e5bdfb.html,引证码FBMCLI.14.8676951｜有附件｜未知位阶/无条文:地方工作文件
296,pkulaw,法规,地方工作文件,广安市人民政府关于2025广安马拉松赛期间对民用无人驾驶航空器飞行管控的通告,广安市人民政府,,2025-11-05,2025-11-05,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\广安市人民政府关于2025广安马拉松赛期间对民用无人驾驶航空器飞行管控的通告(FBMCLI.14.9337256).pdf,https://www.pkulaw.com/lar/35bb20a62341ca29453de23415b33d75bdfb.html,引证码FBMCLI.14.9337256｜未知位阶/无条文:地方工作文件
297,pkulaw,法规,地方工作文件,广安市人民政府关于春节期间对民用无人驾驶航空器飞行管控的通告,广安市人民政府,,2025-01-22,2025-01-22,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\广安市人民政府关于春节期间对民用无人驾驶航空器飞行管控的通告(FBMCLI.14.8910905).pdf,https://www.pkulaw.com/lar/1185e5a30bedf878f27288e6cbe669e4bdfb.html,引证码FBMCLI.14.8910905｜未知位阶/无条文:地方工作文件
298,pkulaw,法规,地方工作文件,广西壮族自治区交通运输厅关于公布广西壮族自治区无人驾驶航空器新版适飞空域范围的公告,广西壮族自治区交通运输厅,,2026-05-12,2026-05-12,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\广西壮族自治区交通运输厅关于公布广西壮族自治区无人驾驶航空器新版适飞空域范围的公告(FBMCLI.14.9956597).pdf,https://www.pkulaw.com/lar/f7d6e095fd3542172b5bda2d2f7965c1bdfb.html,引证码FBMCLI.14.9956597｜有附件｜未知位阶/无条文:地方工作文件
299,pkulaw,法规,地方规范性文件,广西壮族自治区交通运输厅关于公布广西壮族自治区无人驾驶航空器适飞空域范围的公告,广西壮族自治区交通运输厅,,2025-12-02,2025-12-02,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\广西壮族自治区交通运输厅关于公布广西壮族自治区无人驾驶航空器适飞空域范围的公告(FBMCLI.12.9480415).pdf,https://www.pkulaw.com/lar/72f50e48ad0fbaed7d6e737ee506df12bdfb.html,引证码FBMCLI.12.9480415｜有附件｜规范性文件但非结构化(通知/公告)
300,pkulaw,法规,地方工作文件,广西壮族自治区农业农村厅、广西壮族自治区自治区财政厅关于印发广西农用无人驾驶航空器购置与应用补贴实施方案的通知,广西壮族自治区农业农村厅 广西壮族自治区财政厅,桂农厅规〔2025〕9号,2025-08-20,2025-08-20,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\广西壮族自治区农业农村厅、广西壮族自治区自治区财政厅关于印发广西农用无人驾驶航空器购置与应用补贴实施方案的通知(FBMCLI.14.9158177).pdf,https://www.pkulaw.com/lar/ed6a932f83b60be2676053c0cda44d4abdfb.html,引证码FBMCLI.14.9158177｜有附件｜未知位阶/无条文:地方工作文件
301,pkulaw,法规,地方工作文件,广西壮族自治区农业机械化服务中心关于发布广西2025年度第四批自主投档的农用无人驾驶航空器和揉丝机现场演示评价情况的通告,广西壮族自治区农业机械化服务中心,,2026-01-12,2026-01-12,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\广西壮族自治区农业机械化服务中心关于发布广西2025年度第四批自主投档的农用无人驾驶航空器和揉丝机现场演示评价情况的通告(FBMCLI.14.9613905).pdf,https://www.pkulaw.com/lar/0d67566c03582a8d51aa1c804ea54b7cbdfb.html,引证码FBMCLI.14.9613905｜有附件｜未知位阶/无条文:地方工作文件
302,pkulaw,法规,地方工作文件,广西壮族自治区农业机械化服务中心关于发布广西2026年度第一批自主投档的农用无人驾驶航空器现场演示评价情况的通告,广西壮族自治区农业机械化服务中心,,2026-05-22,2026-05-22,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\广西壮族自治区农业机械化服务中心关于发布广西2026年度第一批自主投档的农用无人驾驶航空器现场演示评价情况的通告(FBMCLI.14.9967616).pdf,https://www.pkulaw.com/lar/f9ca1ebe8bbb4bf0960e24f0dbe92e0ebdfb.html,引证码FBMCLI.14.9967616｜有附件｜未知位阶/无条文:地方工作文件
303,pkulaw,法规,地方工作文件,广西壮族自治区农业机械化服务中心关于开展2025年度第四批自主投档的农用无人驾驶航空器和揉丝机现场演示评价的通知,广西壮族自治区农业机械化服务中心,,2025-12-23,2025-12-23,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\广西壮族自治区农业机械化服务中心关于开展2025年度第四批自主投档的农用无人驾驶航空器和揉丝机现场演示评价的通知(FBMCLI.14.9533232).pdf,https://www.pkulaw.com/lar/dcd0dc92b3f363d58c76a6a1238a2390bdfb.html,引证码FBMCLI.14.9533232｜有附件｜未知位阶/无条文:地方工作文件
304,pkulaw,法规,地方工作文件,广西壮族自治区农业机械化服务中心关于开展2026年度第一批自主投档的农用无人驾驶航空器现场演示评价的通知,广西壮族自治区农业机械化服务中心,,2026-04-23,2026-04-23,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\广西壮族自治区农业机械化服务中心关于开展2026年度第一批自主投档的农用无人驾驶航空器现场演示评价的通知(FBMCLI.14.9916168).pdf,https://www.pkulaw.com/lar/41bae181cf3459a5b074fffb7efc8457bdfb.html,引证码FBMCLI.14.9916168｜有附件｜未知位阶/无条文:地方工作文件
305,pkulaw,法规,地方工作文件,张家界市人民政府办公室关于成立张家界市无人驾驶航空器及其他升空物体管理工作联席会议的通知,张家界市人民政府,张政办函〔2017〕130号,2017-10-23,2017-10-23,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\张家界市人民政府办公室关于成立张家界市无人驾驶航空器及其他升空物体管理工作联席会议的通知(FBMCLI.14.1416191).pdf,https://www.pkulaw.com/lar/0a3ba237a9a51be054aba0d12f25caecbdfb.html,引证码FBMCLI.14.1416191｜未知位阶/无条文:地方工作文件
306,pkulaw,法规,地方工作文件,德阳市人民政府办公室关于建立德阳市民用无人驾驶航空器安全管理联席会议制度的通知,德阳市人民政府,德办函〔2017〕84号,2017-12-21,2017-12-21,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\德阳市人民政府办公室关于建立德阳市民用无人驾驶航空器安全管理联席会议制度的通知(FBMCLI.14.1429844).pdf,https://www.pkulaw.com/lar/c4210e551838748deb32413c8288b55ebdfb.html,引证码FBMCLI.14.1429844｜未知位阶/无条文:地方工作文件
307,pkulaw,法规,地方工作文件,怒江州人民政府办公室关于全面加强无人驾驶航空器管理工作的通知,怒江傈僳族自治州人民政府,怒府办电〔2017〕14号,2017-07-18,2017-07-18,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\怒江州人民政府办公室关于全面加强无人驾驶航空器管理工作的通知(FBMCLI.14.1526057).pdf,https://www.pkulaw.com/lar/4669060510ed0e0e98b7f4c760cd1ed0bdfb.html,引证码FBMCLI.14.1526057｜未知位阶/无条文:地方工作文件
308,pkulaw,法规,地方工作文件,成都市经济和信息化委员会关于开展民用无人驾驶航空器生产企业和产品信息填报工作的通知,成都市经济和信息化委员会,,2017-05-27,2017-05-27,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\成都市经济和信息化委员会关于开展民用无人驾驶航空器生产企业和产品信息填报工作的通知(FBMCLI.14.6306602).pdf,https://www.pkulaw.com/lar/98712ebd436d1ee196af7e321771af98bdfb.html,引证码FBMCLI.14.6306602｜有附件｜未知位阶/无条文:地方工作文件
309,pkulaw,法规,地方规范性文件,扬州市农业农村局办公室关于进一步加强农用无人驾驶航空器安全生产工作的通知,扬州市农业农村局,扬农办〔2025〕11号,2025-03-31,2025-03-31,现行有效,,否,pkulaw\raw_pdf\低空经济\无人驾驶航空器\扬州市农业农村局办公室关于进一步加强农用无人驾驶航空器安全生产工作的通知(FBMCLI.12.9101799).pdf,https://www.pkulaw.com/lar/73385bb8783d9427c8a626ccc98a487bbdfb.html,引证码FBMCLI.12.9101799｜有附件｜规范性文件但非结构化(通知/公告)
