序号,来源,类型,效力层级,标题,发布机关,文号,发布日期,施行日期,时效性/现行版本,适用范围,是否已入库,文件路径,来源URL,备注
221,pkulaw,案例,司法案例,东莞市银燕电气科技有限公司与广东澄星无人机股份有限公司买卖合同纠纷一案一审判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\东莞市银燕电气科技有限公司与广东澄星无人机股份有限公司买卖合同纠纷一案一审判决书(FBMCLI.C.94930250).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc41df9aca984e66b0d483eee3ae6e,引证码FBMCLI.C.94930250｜司法案例(单独管线)
222,pkulaw,案例,司法案例,东营航空产业技术研究院;西安爱生无人机技术有限公司;买卖合同纠纷管辖上诉管辖裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\东营航空产业技术研究院;西安爱生无人机技术有限公司;买卖合同纠纷管辖上诉管辖裁定书(FBMCLI.C.568942566).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f8162d93a2e61e8c2a327c0e68dfba5,引证码FBMCLI.C.568942566｜司法案例(单独管线)
223,pkulaw,案例,司法案例,中国东方资产管理股份有限公司广东省分公司、广东澄星无人机股份有限公司金融借款合同纠纷执行实施类执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\中国东方资产管理股份有限公司广东省分公司、广东澄星无人机股份有限公司金融借款合同纠纷执行实施类执行裁定书(FBMCLI.C.310289797).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0ab6b1a95f9d29efd74269a32ca8cf,引证码FBMCLI.C.310289797｜司法案例(单独管线)
224,pkulaw,案例,司法案例,中国人民财产保险股份有限公司武汉市分公司、武汉智能鸟无人机有限公司等民事二审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\中国人民财产保险股份有限公司武汉市分公司、武汉智能鸟无人机有限公司等民事二审民事判决书(FBMCLI.C.510399533).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f20663b659628add7d709d4da5559ff4,引证码FBMCLI.C.510399533｜司法案例(单独管线)
225,pkulaw,案例,司法案例,中国平安财产保险股份有限公司青岛中心支公司、烟台云都海鹰无人机应用技术有限公司财产保险合同纠纷民事二审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\中国平安财产保险股份有限公司青岛中心支公司、烟台云都海鹰无人机应用技术有限公司财产保险合同纠纷民事二审民事判决书(FBMCLI.C.410729420).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce1b63c403e5fbc70ae29006aa40bb,引证码FBMCLI.C.410729420｜司法案例(单独管线)
226,pkulaw,案例,司法案例,"中国建设银行股份有限公司汕头市分行与广东澄星无人机股份有限公司,陈加华,蔡俊彬借款合同纠纷一审民事裁定书",,,,,,,否,"pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\中国建设银行股份有限公司汕头市分行与广东澄星无人机股份有限公司,陈加华,蔡俊彬借款合同纠纷一审民事裁定书(FBMCLI.C.79787832).pdf",https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4b80b7b3a249caafadedaa131f29f,引证码FBMCLI.C.79787832｜司法案例(单独管线)
227,pkulaw,案例,司法案例,中电科仪器仪表有限公司与西安爱生无人机技术有限公司票据纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\中电科仪器仪表有限公司与西安爱生无人机技术有限公司票据纠纷一审民事裁定书(FBMCLI.C.119899168).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc48faf3362931757b19bde2ffa7d89,引证码FBMCLI.C.119899168｜司法案例(单独管线)
228,pkulaw,案例,司法案例,中科航宇（北京）自动化工程技术有限公司、北京元一创智无人机科技有限责任公司买卖合同纠纷一审民事调解书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\中科航宇（北京）自动化工程技术有限公司、北京元一创智无人机科技有限责任公司买卖合同纠纷一审民事调解书(FBMCLI.C.97848575).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc46c0f888f0375284273ff28537fe19,引证码FBMCLI.C.97848575｜司法案例(单独管线)
229,pkulaw,案例,司法案例,临沂威鹰无人机控制技术有限公司与江苏星睿航空科技有限公司买卖合同纠纷执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\临沂威鹰无人机控制技术有限公司与江苏星睿航空科技有限公司买卖合同纠纷执行裁定书(FBMCLI.C.322911237).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0ab236f4184dc686ca457057c0998,引证码FBMCLI.C.322911237｜司法案例(单独管线)
230,pkulaw,案例,司法案例,临沂飞防农业植保有限公司、山东腾跃航空无人机科技有限公司不当得利纠纷民事二审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\临沂飞防农业植保有限公司、山东腾跃航空无人机科技有限公司不当得利纠纷民事二审民事判决书(FBMCLI.C.323696329).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0acdd707bb5d3de6b0bb09d7dfeaa,引证码FBMCLI.C.323696329｜司法案例(单独管线)
231,pkulaw,案例,司法案例,乐吉琳、云南知名无人机科技有限公司申请司法确认调解协议特别程序：确认调解协议民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\乐吉琳、云南知名无人机科技有限公司申请司法确认调解协议特别程序：确认调解协议民事裁定书(FBMCLI.C.319976166).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a1112e81559c9169c227d2a3fa16,引证码FBMCLI.C.319976166｜司法案例(单独管线)
232,pkulaw,案例,司法案例,乐海明与洛克希德（武汉）无人机科学研究院有限公司劳动争议执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\乐海明与洛克希德（武汉）无人机科学研究院有限公司劳动争议执行裁定书(FBMCLI.C.62356233).pdf,https://www.pkulaw.com/pfnl/a25051f3312b07f3ea36469345d84a85d9d12b84030,引证码FBMCLI.C.62356233｜司法案例(单独管线)
233,pkulaw,案例,司法案例,于海生与辽宁大壮无人机科技有限公司追索劳动报酬纠纷二审裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\于海生与辽宁大壮无人机科技有限公司追索劳动报酬纠纷二审裁定书(FBMCLI.C.502919583).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f2069f0df03e346deccf865869442f8cb,引证码FBMCLI.C.502919583｜司法案例(单独管线)
234,pkulaw,案例,司法案例,五莲县恒泰广告中心、山东巨岚无人机科技有限公司装饰装修合同纠纷民事一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\五莲县恒泰广告中心、山东巨岚无人机科技有限公司装饰装修合同纠纷民事一审民事判决书(FBMCLI.C.431608861).pdf,https://www.pkulaw.com/pfnl/95b2ca8d4055fce178113f184d5f4a3da33e869293a3,引证码FBMCLI.C.431608861｜司法案例(单独管线)
235,pkulaw,案例,司法案例,亨通集团有限公司与广东鑫德金能源进出口有限公司、陈建军、深圳慈航无人机有限公司、深圳慈航无人智能系统技术有限公司借款...,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\亨通集团有限公司与广东鑫德金能源进出口有限公司、陈建军、深圳慈航无人机有限公司、深圳慈航无人智能系统技术有限公司借款...(FBMCLI.C.317691286).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0aedef97ba4b80eb39332c4a2d3ec,引证码FBMCLI.C.317691286｜司法案例(单独管线)
236,pkulaw,案例,司法案例,伍福金、桂林精纳无人机科技有限公司合同纠纷首次执行执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\伍福金、桂林精纳无人机科技有限公司合同纠纷首次执行执行裁定书(FBMCLI.C.324766415).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a409965944885612476a0ecf10f4,引证码FBMCLI.C.324766415｜司法案例(单独管线)
237,pkulaw,案例,司法案例,伍福金与广西精纳恒宇无人机科技有限公司、桂林精纳无人机科技有限公司装饰装修合同纠纷一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\伍福金与广西精纳恒宇无人机科技有限公司、桂林精纳无人机科技有限公司装饰装修合同纠纷一审民事判决书(FBMCLI.C.103471543).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4cfb1c8d2f7a9ca676a6f031d6986,引证码FBMCLI.C.103471543｜司法案例(单独管线)
238,pkulaw,案例,司法案例,伍解友与湖南银之通无人机科技有限公司申请公司清算一案一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\伍解友与湖南银之通无人机科技有限公司申请公司清算一案一审民事裁定书(FBMCLI.C.93545535).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4f0ad3fe16c83475704dbe11022c,引证码FBMCLI.C.93545535｜司法案例(单独管线)
239,pkulaw,案例,司法案例,何某与陈某、厦门某无人机工程中心有限公司等一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\何某与陈某、厦门某无人机工程中心有限公司等一审民事判决书(FBMCLI.C.558959503).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f2066b78d840559a13d5e2246667d67,引证码FBMCLI.C.558959503｜司法案例(单独管线)
240,pkulaw,案例,司法案例,余俊与洛克希德（武汉）无人机科学研究院有限公司劳动争议执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\余俊与洛克希德（武汉）无人机科学研究院有限公司劳动争议执行裁定书(FBMCLI.C.63111040).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc487d659b4752fb5e4ee229b8495b,引证码FBMCLI.C.63111040｜司法案例(单独管线)
241,pkulaw,案例,司法案例,佛山市南海松岗华达印刷厂、东莞市雅联无人机科技有限公司买卖合同纠纷一审执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\佛山市南海松岗华达印刷厂、东莞市雅联无人机科技有限公司买卖合同纠纷一审执行裁定书(FBMCLI.C.120303932).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc43c79702b9498a682773bc96cd1c,引证码FBMCLI.C.120303932｜司法案例(单独管线)
242,pkulaw,案例,司法案例,侯新宇;汕头市澄海区科航鹏翼无人机科技商行信息网络买卖合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\侯新宇;汕头市澄海区科航鹏翼无人机科技商行信息网络买卖合同纠纷一审民事裁定书(FBMCLI.C.573306534).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f816510554015f62e2964a84341761c,引证码FBMCLI.C.573306534｜司法案例(单独管线)
243,pkulaw,案例,司法案例,侯某艳；延吉市某无人机专卖店；李某租赁合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\侯某艳；延吉市某无人机专卖店；李某租赁合同纠纷一审民事裁定书(FBMCLI.C.576455201).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f816620563781c24fe4deb6dc3c452f2,引证码FBMCLI.C.576455201｜司法案例(单独管线)
244,pkulaw,案例,司法案例,保全人中国农业银行股份有限公司、吉林省天润无人机科技有限公司借款合同纠纷财产保全执行执行通知书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\保全人中国农业银行股份有限公司、吉林省天润无人机科技有限公司借款合同纠纷财产保全执行执行通知书(FBMCLI.C.511585498).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f20627345983037ae75b99bda6485d5,引证码FBMCLI.C.511585498｜司法案例(单独管线)
245,pkulaw,案例,司法案例,俞宇鹏、极飞无人机教育科技（深圳）有限公司、赖进发等其他案由执行实施类执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\俞宇鹏、极飞无人机教育科技（深圳）有限公司、赖进发等其他案由执行实施类执行裁定书(FBMCLI.C.72564752).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4371a11823b5bbf242d9f362905d,引证码FBMCLI.C.72564752｜司法案例(单独管线)
246,pkulaw,案例,司法案例,倪兴;安徽天机翼无人机科技有限公司买卖合同纠纷管辖上诉管辖裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\倪兴;安徽天机翼无人机科技有限公司买卖合同纠纷管辖上诉管辖裁定书(FBMCLI.C.569719476).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f8168009f412da3d6afc815348d4fd46,引证码FBMCLI.C.569719476｜司法案例(单独管线)
247,pkulaw,案例,司法案例,全球鹰（深圳）无人机有限公司、深圳市沧龙数码科技有限公司劳动合同纠纷二审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\全球鹰（深圳）无人机有限公司、深圳市沧龙数码科技有限公司劳动合同纠纷二审民事判决书(FBMCLI.C.120732765).pdf,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc47bac2ed58b5d66a6db895eae00e,引证码FBMCLI.C.120732765｜司法案例(单独管线)
248,pkulaw,案例,司法案例,全球鹰（深圳）无人机有限公司、胡赞江技术委托开发合同纠纷民事二审民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\全球鹰（深圳）无人机有限公司、胡赞江技术委托开发合同纠纷民事二审民事裁定书(FBMCLI.C.324048683).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a50370c5a9c4a88126143ebd1f81,引证码FBMCLI.C.324048683｜司法案例(单独管线)
249,pkulaw,案例,司法案例,内蒙古纵横大鹏科技有限公司、内蒙古应急无人机飞行总队有限责任公司巴彦淖尔基地分公司民事一审民事判决书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\内蒙古纵横大鹏科技有限公司、内蒙古应急无人机飞行总队有限责任公司巴彦淖尔基地分公司民事一审民事判决书(FBMCLI.C.560736527).pdf,https://www.pkulaw.com/pfnl/08df102e7c10f20678f0a82cf914330370ea88dcdbcc,引证码FBMCLI.C.560736527｜司法案例(单独管线)
250,pkulaw,案例,司法案例,内蒙古金航无人机科技有限公司、亿利资源集团有限公司合同纠纷执行实施类执行通知书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\内蒙古金航无人机科技有限公司、亿利资源集团有限公司合同纠纷执行实施类执行通知书(FBMCLI.C.319874689).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a30147b22f24fe492665b96e08b7,引证码FBMCLI.C.319874689｜司法案例(单独管线)
251,pkulaw,案例,司法案例,内蒙古金航无人机科技有限公司、亿利资源集团有限公司特别程序民事裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\内蒙古金航无人机科技有限公司、亿利资源集团有限公司特别程序民事裁定书(FBMCLI.C.316980312).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a981db3246ed4e6d2194bee0737,引证码FBMCLI.C.316980312｜司法案例(单独管线)
252,pkulaw,案例,司法案例,冯文扬、深圳市飞客无人机科技有限公司劳动争议执行实施类执行裁定书,,,,,,,否,pkulaw\raw_pdf\无人机司法案例pdf\无人机司法案例pdf\冯文扬、深圳市飞客无人机科技有限公司劳动争议执行实施类执行裁定书(FBMCLI.C.309425315).pdf,https://www.pkulaw.com/pfnl/c05aeed05a57db0a7a9cb287845154b189126e32d8,引证码FBMCLI.C.309425315｜司法案例(单独管线)
